rank.sign.logp.heart	rank.sign.logp.lung	rank.sign.logp.kidney	rank.sign.logp.spleen
14096	7705	12484	11819
12172	9198	7831	9414
14523	6153	10591	10322
3539	3403	10081	10777
11487	5896	5756	8340
11099	4052	9012	11928
4310	3408	7257	5031
8807	6075	3691	6504
9856	2594	7957	8825
5713	3603	7026	6454
6785	5841	7028	8489
9650	1246	4169	2779
9666	6012	7543	9707
7397	5826	7055	6905
11494	5798	9453	9702
10309	7627	10022	6916
4904	9342	10117	4693
6406	10159	1654	11944
11297	7768	7013	6465
2163	4156	4981	4268
23	1985	496	1494
7971	13155	6541	13901
13356	4644	5300	7508
1629	331	3716	1795
14359	14028	14914	14340
6611	3473	656	655
2648	3307	4632	7545
720	1269	5147	5900
9395	12381	9833	8371
7290	11125	1515	13028
3982	9209	1525	9829
2633	3639	3112	8112
5084	10737	3400	5575
11438	8426	7151	12521
7571	8297	3925	6623
912	8347	2958	7611
9585	9831	10500	6411
4834	935	10291	1074
4495	7965	13443	6790
12794	14668	14371	15445
3916	5540	14406	13719
1790	2189	2832	4428
11719	14447	15290	14511
11330	10638	12292	5769
3280	221	879	1455
10960	2383	11681	4730
2202	355	300	127
861	254	1216	604
10182	4535	2021	11421
3325	4775	1337	1160
6811	9754	1141	3858
6193	7167	1755	4196
14571	12643	11532	13119
11832	5186	7229	3794
7901	11759	4913	8690
13084	10220	6643	10921
14982	12101	13440	13925
4021	6156	10189	10458
2174	5542	2208	1209
11610	10372	4057	11816
12354	12882	13947	12492
12626	4962	6618	5790
8706	7885	12114	11024
14939	14880	15370	15087
1778	3293	6928	4729
13837	11546	2801	10144
9009	11185	6821	11431
410	1394	5951	2768
3609	1592	12977	1550
15076	15097	14260	14193
326	94	2102	859
9551	8716	10679	13684
13325	5759	6499	8354
13511	11539	15230	13207
3746	10117	6735	5533
13143	15261	12383	14632
5337	3014	1011	1678
4274	7666	13164	4060
15298	14714	12470	14245
14817	15172	13251	15363
4231	5036	7287	5936
843	4969	12950	5052
10287	9098	13425	12290
10071	13712	14535	14314
12919	12067	12747	14645
13919	15377	14714	14904
6949	4556	6747	12919
8326	3899	8462	6524
12837	13105	14273	15114
12695	10095	14589	11168
5259	14611	7986	8544
13600	11908	7552	11717
14194	12935	5272	11032
12762	14722	14758	13614
1175	2597	3084	4049
2485	6919	8846	2654
10278	11092	11284	6172
8580	11577	12505	14205
8762	8884	4772	9764
614	3548	3551	78
11690	9473	3467	7250
15365	15462	15443	15290
14653	12271	14667	14000
12237	12802	1167	7393
13398	14461	15152	13941
14590	11406	13200	14912
8299	14918	15238	12874
6069	13674	11161	10895
14292	15100	15136	14981
14030	13895	14614	12668
1911	11904	6033	11619
13810	13955	15204	14324
11211	11807	13927	11460
4238	12900	7652	8993
4936	9451	12832	11211
844	2244	12965	988
9453	11707	10841	6588
13524	9793	12263	6681
11012	978	4917	7490
7818	6371	5472	7204
8727	8815	9158	14516
13296	14874	14416	15188
8987	6306	8582	12203
10254	5281	13304	2771
6648	9483	12232	12211
846	1994	6079	7969
15198	15244	15297	15141
14796	14560	13075	14515
12721	10685	13534	11916
12394	12816	13537	13682
14174	14103	15343	13248
8861	6235	13819	8206
13405	8361	12626	4461
15002	12575	12374	12480
14025	10819	14781	14434
11706	7858	4578	3923
13411	12616	14659	12542
2042	1516	373	1407
11151	12669	6177	13890
4679	8129	5545	6540
7701	10326	9328	5092
9227	7023	11727	9061
9032	7717	8495	8778
1999	905	4071	2800
4551	5819	5447	6290
7084	8798	1599	10545
7120	6983	5240	9387
9181	7450	932	1736
4293	8217	1859	3469
12142	4344	10298	2187
11767	12362	6555	4432
2617	2266	2990	12222
3967	7046	7612	7749
6545	5403	10849	9463
1837	1357	192	2136
1072	616	401	272
10485	8822	2604	3499
2803	4077	5383	67
5149	10185	8403	2970
12839	13566	6134	13871
9957	2939	2430	2322
11451	7948	10974	8547
1940	1183	1239	1733
6963	5667	7338	2041
7441	12191	14784	11213
4068	11524	7680	9566
3827	4000	11155	3288
12987	13873	9308	15084
9407	4418	5230	3298
9581	13342	5386	12625
4592	5573	4987	3070
10498	10986	9527	9520
340	2163	6006	5303
1535	3651	7750	3741
999	602	5204	5719
8301	11329	12654	13454
12050	11630	12598	10806
1912	2977	5274	3551
