sample	type
TCGA.97.A4M5.01	LUAD
TCGA.97.A4M6.01	LUAD
TCGA.97.A4M7.01	LUAD
TCGA.99.7458.01	LUAD
TCGA.99.8025.01	LUAD
TCGA.99.8028.01	LUAD
TCGA.99.8032.01	LUAD
TCGA.99.8033.01	LUAD
TCGA.99.AA5R.01	LUAD
TCGA.J2.8192.01	LUAD
TCGA.J2.8194.01	LUAD
TCGA.J2.A4AD.01	LUAD
TCGA.J2.A4AE.01	LUAD
TCGA.J2.A4AG.01	LUAD
TCGA.L4.A4E5.01	LUAD
TCGA.L4.A4E6.01	LUAD
TCGA.L9.A443.01	LUAD
TCGA.L9.A444.01	LUAD
TCGA.L9.A50W.01	LUAD
TCGA.L9.A5IP.01	LUAD
TCGA.L9.A743.01	LUAD
TCGA.L9.A7SV.01	LUAD
TCGA.L9.A8F4.01	LUAD
TCGA.MN.A4N1.01	LUAD
TCGA.MN.A4N4.01	LUAD
TCGA.MN.A4N5.01	LUAD
TCGA.MP.A4SV.01	LUAD
TCGA.MP.A4SW.01	LUAD
TCGA.MP.A4SY.01	LUAD
TCGA.MP.A4T2.01	LUAD
TCGA.MP.A4T4.01	LUAD
TCGA.MP.A4T6.01	LUAD
TCGA.MP.A4T7.01	LUAD
TCGA.MP.A4T8.01	LUAD
TCGA.MP.A4T9.01	LUAD
TCGA.MP.A4TA.01	LUAD
TCGA.MP.A4TC.01	LUAD
TCGA.MP.A4TD.01	LUAD
TCGA.MP.A4TE.01	LUAD
TCGA.MP.A4TF.01	LUAD
TCGA.MP.A4TH.01	LUAD
TCGA.MP.A4TI.01	LUAD
TCGA.MP.A4TJ.01	LUAD
TCGA.MP.A4TK.01	LUAD
TCGA.MP.A5C7.01	LUAD
TCGA.NJ.A4YF.01	LUAD
TCGA.NJ.A4YG.01	LUAD
TCGA.NJ.A4YI.01	LUAD
TCGA.NJ.A4YP.01	LUAD
TCGA.NJ.A4YQ.01	LUAD
TCGA.NJ.A55A.01	LUAD
TCGA.NJ.A55O.01	LUAD
TCGA.NJ.A55R.01	LUAD
TCGA.NJ.A7XG.01	LUAD
TCGA.O1.A52J.01	LUAD
TCGA.S2.AA1A.01	LUAD
TCGA.18.3406.01	LUSC
TCGA.18.3407.01	LUSC
TCGA.18.3408.01	LUSC
TCGA.18.3409.01	LUSC
TCGA.18.3410.01	LUSC
TCGA.18.3411.01	LUSC
TCGA.18.3412.01	LUSC
TCGA.18.3414.01	LUSC
TCGA.18.3415.01	LUSC
TCGA.18.3416.01	LUSC
TCGA.18.3417.01	LUSC
TCGA.18.3419.01	LUSC
TCGA.18.3421.01	LUSC
TCGA.18.4083.01	LUSC
TCGA.18.4086.01	LUSC
TCGA.18.4721.01	LUSC
TCGA.18.5592.01	LUSC
TCGA.18.5595.01	LUSC
TCGA.21.1070.01	LUSC
TCGA.21.1071.01	LUSC
TCGA.21.1072.01	LUSC
TCGA.21.1075.01	LUSC
TCGA.21.1076.01	LUSC
TCGA.21.1077.01	LUSC
TCGA.21.1078.01	LUSC
TCGA.21.1079.01	LUSC
TCGA.21.1080.01	LUSC
TCGA.21.1081.01	LUSC
TCGA.21.1082.01	LUSC
TCGA.21.1083.01	LUSC
TCGA.21.5782.01	LUSC
TCGA.21.5783.01	LUSC
TCGA.21.5784.01	LUSC
TCGA.21.5786.01	LUSC
TCGA.21.5787.01	LUSC
TCGA.21.A5DI.01	LUSC
TCGA.22.0940.01	LUSC
TCGA.22.0944.01	LUSC
TCGA.22.1000.01	LUSC
TCGA.22.1002.01	LUSC
TCGA.22.1005.01	LUSC
TCGA.22.1011.01	LUSC
TCGA.22.1012.01	LUSC
TCGA.22.1016.01	LUSC
TCGA.22.1017.01	LUSC
TCGA.22.4591.01	LUSC
TCGA.22.4593.01	LUSC
TCGA.22.4594.01	LUSC
TCGA.22.4595.01	LUSC
TCGA.22.4596.01	LUSC
TCGA.22.4599.01	LUSC
TCGA.22.4601.01	LUSC
TCGA.22.4604.01	LUSC
TCGA.22.4605.01	LUSC
TCGA.22.4607.01	LUSC
TCGA.22.4609.01	LUSC
TCGA.22.4613.01	LUSC
TCGA.22.5471.01	LUSC
TCGA.22.5472.01	LUSC
TCGA.22.5473.01	LUSC
TCGA.22.5474.01	LUSC
TCGA.22.5477.01	LUSC
TCGA.22.5478.01	LUSC
TCGA.22.5479.01	LUSC
TCGA.22.5480.01	LUSC
TCGA.22.5481.01	LUSC
TCGA.22.5482.01	LUSC
TCGA.22.5483.01	LUSC
TCGA.22.5485.01	LUSC
TCGA.22.5489.01	LUSC
TCGA.22.5491.01	LUSC
TCGA.22.5492.01	LUSC
TCGA.22.A5C4.01	LUSC
TCGA.33.4532.01	LUSC
TCGA.33.4533.01	LUSC
TCGA.33.4538.01	LUSC
TCGA.33.4547.01	LUSC
TCGA.33.4566.01	LUSC
TCGA.33.4579.01	LUSC
TCGA.33.4582.01	LUSC
TCGA.33.4583.01	LUSC
TCGA.33.4586.01	LUSC
TCGA.33.4587.01	LUSC
TCGA.33.4589.01	LUSC
TCGA.33.6737.01	LUSC
TCGA.33.6738.01	LUSC
TCGA.33.A4WN.01	LUSC
TCGA.33.A5GW.01	LUSC
TCGA.33.AAS8.01	LUSC
TCGA.33.AASB.01	LUSC
TCGA.33.AASD.01	LUSC
TCGA.33.AASI.01	LUSC
TCGA.33.AASJ.01	LUSC
TCGA.33.AASL.01	LUSC
TCGA.34.2596.01	LUSC
TCGA.34.2600.01	LUSC
TCGA.34.2604.01	LUSC
TCGA.34.2605.01	LUSC
TCGA.34.2608.01	LUSC
TCGA.34.2609.01	LUSC
TCGA.34.5231.01	LUSC
TCGA.34.5232.01	LUSC
TCGA.34.5234.01	LUSC
TCGA.34.5236.01	LUSC
TCGA.34.5239.01	LUSC
TCGA.34.5240.01	LUSC
TCGA.34.5241.01	LUSC
TCGA.34.5927.01	LUSC
TCGA.34.5928.01	LUSC
TCGA.34.5929.01	LUSC
TCGA.34.7107.01	LUSC
TCGA.34.8454.01	LUSC
TCGA.34.8455.01	LUSC
